Species,Sample,Value
Actinobacteria,Tuss1-16S-T0,6.868867083
Actinobacteria,Tuss2-16S-T0,6.138790036
Actinobacteria,Tuss3-16S-T0,5.223880597
Actinobacteria,Tuss1-16S-T24,5.215231788
Actinobacteria,Tuss2-16S-T24,5.856255546
Actinobacteria,Tuss3-16S-T24,4.679376083
Actinobacteria,Tuss1-16S-T4,5.599472991
Actinobacteria,Tuss2-16S-T4,5.237633366
Actinobacteria,Tuss3-16S-T4,5.619982159
Actinobacteria,WS1-16S-T0,7.127071823
Actinobacteria,WS2-16S-T0,8.86347391
Actinobacteria,WS3-16S-T0,6.37254902
Actinobacteria,WS1-16S-T24,6.586826347
Actinobacteria,WS2-16S-T24,7.267221802
Actinobacteria,WS3-16S-T24,6.182643222
Actinobacteria,WS1-16S-T4,6.769230769
Actinobacteria,WS2-16S-T4,6.911262799
Actinobacteria,WS3-16S-T4,6.513614522
Acidobacteria,Tuss1-16S-T0,17.93041927
Acidobacteria,Tuss2-16S-T0,15.65836299
Acidobacteria,Tuss3-16S-T0,14.10447761
Acidobacteria,Tuss1-16S-T24,16.22516556
Acidobacteria,Tuss2-16S-T24,16.59272405
Acidobacteria,Tuss3-16S-T24,13.43154246
Acidobacteria,Tuss1-16S-T4,16.07378129
Acidobacteria,Tuss2-16S-T4,19.49563531
Acidobacteria,Tuss3-16S-T4,15.34344335
Acidobacteria,WS1-16S-T0,11.82320442
Acidobacteria,WS2-16S-T0,11.43674053
Acidobacteria,WS3-16S-T0,11.42156863
Acidobacteria,WS1-16S-T24,12.1091151
Acidobacteria,WS2-16S-T24,13.32323997
Acidobacteria,WS3-16S-T24,11.74134997
Acidobacteria,WS1-16S-T4,13.76923077
Acidobacteria,WS2-16S-T4,11.4334471
Acidobacteria,WS3-16S-T4,11.15856914
Alphaproteobacteria,Tuss1-16S-T0,13.3809099
Alphaproteobacteria,Tuss2-16S-T0,14.14590747
Alphaproteobacteria,Tuss3-16S-T0,12.3880597
Alphaproteobacteria,Tuss1-16S-T24,13.99006623
Alphaproteobacteria,Tuss2-16S-T24,14.99556344
Alphaproteobacteria,Tuss3-16S-T24,14.29809359
Alphaproteobacteria,Tuss1-16S-T4,13.57048748
Alphaproteobacteria,Tuss2-16S-T4,12.31813773
Alphaproteobacteria,Tuss3-16S-T4,13.3809099
Alphaproteobacteria,WS1-16S-T0,6.132596685
Alphaproteobacteria,WS2-16S-T0,4.932094353
Alphaproteobacteria,WS3-16S-T0,8.039215686
Alphaproteobacteria,WS1-16S-T24,5.123087159
Alphaproteobacteria,WS2-16S-T24,5.071915216
Alphaproteobacteria,WS3-16S-T24,8.054452638
Alphaproteobacteria,WS1-16S-T4,5.923076923
Alphaproteobacteria,WS2-16S-T4,3.839590444
Alphaproteobacteria,WS3-16S-T4,7.528029899
Betaproteobacteria,Tuss1-16S-T0,2.140945584
Betaproteobacteria,Tuss2-16S-T0,2.669039146
Betaproteobacteria,Tuss3-16S-T0,3.28358209
Betaproteobacteria,Tuss1-16S-T24,1.986754967
Betaproteobacteria,Tuss2-16S-T24,2.48447205
Betaproteobacteria,Tuss3-16S-T24,2.512998267
Betaproteobacteria,Tuss1-16S-T4,2.437417655
Betaproteobacteria,Tuss2-16S-T4,2.13385063
Betaproteobacteria,Tuss3-16S-T4,2.497769848
Betaproteobacteria,WS1-16S-T0,3.867403315
Betaproteobacteria,WS2-16S-T0,4.360257327
Betaproteobacteria,WS3-16S-T0,4.215686275
Betaproteobacteria,WS1-16S-T24,4.058549568
Betaproteobacteria,WS2-16S-T24,5.071915216
Betaproteobacteria,WS3-16S-T24,4.821327283
Betaproteobacteria,WS1-16S-T4,4.230769231
Betaproteobacteria,WS2-16S-T4,3.583617747
Betaproteobacteria,WS3-16S-T4,4.32461292
