Species,Sample,Value
Actinobacteria,Tuss-16S,5.604387739
Actinobacteria,WS-16S,6.954877135
Acidobacteria,Tuss-16S,16.09506132
Acidobacteria,WS-16S,12.02405174
Alphaproteobacteria,Tuss-16S,13.60757061
Alphaproteobacteria,WS-16S,6.071562111
Betaproteobacteria,Tuss-16S,2.460758915
Betaproteobacteria,WS-16S,4.281570987
Deltaproteobacteria,Tuss-16S,5.135950639
Deltaproteobacteria,WS-16S,7.75459919
Gammaproteobacteria,Tuss-16S,6.684954189
Gammaproteobacteria,WS-16S,2.907178132
Proteobacteria Unclassified,Tuss-16S,3.531671877
Proteobacteria Unclassified,WS-16S,2.906682323
Bacteroidetes,Tuss-16S,4.559081401
Bacteroidetes,WS-16S,5.653288491
Chloroflexi,Tuss-16S,0.703481296
Chloroflexi,WS-16S,3.572348427
Firmicutes,Tuss-16S,0.153250336
Firmicutes,WS-16S,1.104703792
Planctomycetes,Tuss-16S,12.40721502
Planctomycetes,WS-16S,4.453448974
Verrucomicrobia,Tuss-16S,5.862361052
Verrucomicrobia,WS-16S,7.200377481
Bacteria Unclassified,Tuss-16S,14.68646644
Bacteria Unclassified,WS-16S,29.34595518
Bacteria Other,Tuss-16S,8.467356012
Bacteria Other,WS-16S,4.438080793
Archaea,Tuss-16S,0.040433155
Archaea,WS-16S,1.331275242
Fungi,Tuss-16S,0
Fungi,WS-16S,0
