Species,Sample,Value
Acidobacteria,Tuss1-MG-T0,31.33942329
Acidobacteria,Tuss2-MG-T0,33.08311575
Acidobacteria,Tuss1-MG-T4,41.69121191
Acidobacteria,Tuss2-MG-T4,37.38736337
Acidobacteria,Tuss1-MG-T24,35.14414176
Acidobacteria,Tuss3-MG-T24,27.31249386
Acidobacteria,WS1-MG-T0,9.87513507
Acidobacteria,WS2-MG-T0,8.258072498
Acidobacteria,WS3-MG-T0,10.91413062
Acidobacteria,WS1-MG-T4,10.06293189
Acidobacteria,WS2-MG-T4,8.697123519
Acidobacteria,WS3-MG-T4,11.57285048
Acidobacteria,WS1-MG-T24,9.796247266
Acidobacteria,WS2-MG-T24,8.833725393
Acidobacteria,WS3-MG-T24,12.35326998
Actinobacteria,Tuss1-MG-T0,29.64450803
Actinobacteria,Tuss2-MG-T0,30.29264578
Actinobacteria,Tuss1-MG-T4,15.94816045
Actinobacteria,Tuss2-MG-T4,22.23407091
Actinobacteria,Tuss1-MG-T24,23.65511769
Actinobacteria,Tuss3-MG-T24,19.22736656
Actinobacteria,WS1-MG-T0,24.87693601
Actinobacteria,WS2-MG-T0,34.41172832
Actinobacteria,WS3-MG-T0,27.25067852
Actinobacteria,WS1-MG-T4,27.023692
Actinobacteria,WS2-MG-T4,27.02199662
Actinobacteria,WS3-MG-T4,22.26283529
Actinobacteria,WS1-MG-T24,22.82145735
Actinobacteria,WS2-MG-T24,31.31732079
Actinobacteria,WS3-MG-T24,23.2588038
Alphaproteobacteria,Tuss1-MG-T0,12.35417125
Alphaproteobacteria,Tuss2-MG-T0,12.05939948
Alphaproteobacteria,Tuss1-MG-T4,14.2826541
Alphaproteobacteria,Tuss2-MG-T4,14.55078646
Alphaproteobacteria,Tuss1-MG-T24,14.7315525
Alphaproteobacteria,Tuss3-MG-T24,23.79337462
Alphaproteobacteria,WS1-MG-T0,7.726017529
Alphaproteobacteria,WS2-MG-T0,4.181615737
Alphaproteobacteria,WS3-MG-T0,11.25483629
Alphaproteobacteria,WS1-MG-T4,7.144619941
Alphaproteobacteria,WS2-MG-T4,4.399323181
Alphaproteobacteria,WS3-MG-T4,12.84372716
Alphaproteobacteria,WS1-MG-T24,6.388856913
Alphaproteobacteria,WS2-MG-T24,5.472328835
Alphaproteobacteria,WS3-MG-T24,15.10340973
Betaproteobacteria,Tuss1-MG-T0,1.595861765
Betaproteobacteria,Tuss2-MG-T0,1.501305483
