Species,Sample,Value
Acidobacteria,Tuss-MG-T0,32.21126952
Acidobacteria,Tuss-MG-T4,39.53928764
Acidobacteria,Tuss-MG-T24,31.22831781
Acidobacteria,WS-MG-T0,9.682446064
Acidobacteria,WS-MG-T4,10.11096863
Acidobacteria,WS-MG-T24,10.32774755
Actinobacteria,Tuss-MG-T0,29.96857691
Actinobacteria,Tuss-MG-T4,19.09111568
Actinobacteria,Tuss-MG-T24,21.44124213
Actinobacteria,WS-MG-T0,28.84644762
Actinobacteria,WS-MG-T4,25.43617464
Actinobacteria,WS-MG-T24,25.79919398
Alphaproteobacteria,Tuss-MG-T0,12.20678537
Alphaproteobacteria,Tuss-MG-T4,14.41672028
Alphaproteobacteria,Tuss-MG-T24,19.26246356
Alphaproteobacteria,WS-MG-T0,7.720823185
Alphaproteobacteria,WS-MG-T4,8.129223426
Alphaproteobacteria,WS-MG-T24,8.988198491
Betaproteobacteria,Tuss-MG-T0,1.548583624
Betaproteobacteria,Tuss-MG-T4,1.480194082
Betaproteobacteria,Tuss-MG-T24,2.962254323
Betaproteobacteria,WS-MG-T0,5.791052187
Betaproteobacteria,WS-MG-T4,6.257049018
Betaproteobacteria,WS-MG-T24,7.134050907
Deltaproteobacteria,Tuss-MG-T0,3.855426088
Deltaproteobacteria,Tuss-MG-T4,3.847791788
Deltaproteobacteria,Tuss-MG-T24,4.559203536
Deltaproteobacteria,WS-MG-T0,12.40766172
Deltaproteobacteria,WS-MG-T4,13.14059886
Deltaproteobacteria,WS-MG-T24,12.69399885
Gammaproteobacteria,Tuss-MG-T0,10.51424503
Gammaproteobacteria,Tuss-MG-T4,11.11575381
Gammaproteobacteria,Tuss-MG-T24,11.08333071
Gammaproteobacteria,WS-MG-T0,1.459007116
Gammaproteobacteria,WS-MG-T4,1.913402488
Gammaproteobacteria,WS-MG-T24,1.599316024
Proteobacteria Unclassified,Tuss-MG-T0,0.013757429
Proteobacteria Unclassified,Tuss-MG-T4,0.013388315
Proteobacteria Unclassified,Tuss-MG-T24,0.005289606
Proteobacteria Unclassified,WS-MG-T0,0.027603319
Proteobacteria Unclassified,WS-MG-T4,0.017422092
Proteobacteria Unclassified,WS-MG-T24,0.005589715
Bacteroidetes,Tuss-MG-T0,0.353133087
Bacteroidetes,Tuss-MG-T4,0.444012053
Bacteroidetes,Tuss-MG-T24,0.371320795
Bacteroidetes,WS-MG-T0,1.260843268
Bacteroidetes,WS-MG-T4,2.610210077
Bacteroidetes,WS-MG-T24,1.790916214
Chloroflexi,Tuss-MG-T0,0.240798112
Chloroflexi,Tuss-MG-T4,0.181671328
Chloroflexi,Tuss-MG-T24,0.324111335
Chloroflexi,WS-MG-T0,7.987491197
Chloroflexi,WS-MG-T4,8.446380569
Chloroflexi,WS-MG-T24,8.427375982
Firmicutes,Tuss-MG-T0,3.4817724
Firmicutes,Tuss-MG-T4,4.043425083
Firmicutes,Tuss-MG-T24,3.014029467
Firmicutes,WS-MG-T0,16.6622671
Firmicutes,WS-MG-T4,13.85792584
Firmicutes,WS-MG-T24,13.88867284
Planctomycetes,Tuss-MG-T0,1.080268887
Planctomycetes,Tuss-MG-T4,1.047079996
Planctomycetes,Tuss-MG-T24,0.914036546
Planctomycetes,WS-MG-T0,0.073307305
Planctomycetes,WS-MG-T4,0.15114716
Planctomycetes,WS-MG-T24,0.151740775
Verrucomicrobia,Tuss-MG-T0,2.249632393
Verrucomicrobia,Tuss-MG-T4,2.239432808
Verrucomicrobia,Tuss-MG-T24,2.727633028
Verrucomicrobia,WS-MG-T0,1.880750673
Verrucomicrobia,WS-MG-T4,2.718983228
Verrucomicrobia,WS-MG-T24,2.584388368
Bacteria Unclassified,Tuss-MG-T0,0
Bacteria Unclassified,Tuss-MG-T4,0
Bacteria Unclassified,Tuss-MG-T24,0
Bacteria Unclassified,WS-MG-T0,0
Bacteria Unclassified,WS-MG-T4,0
Bacteria Unclassified,WS-MG-T24,0
Bacteria Other,Tuss-MG-T0,1.026698728
Bacteria Other,Tuss-MG-T4,1.162441939
Bacteria Other,Tuss-MG-T24,1.181977991
Bacteria Other,WS-MG-T0,4.415264604
Bacteria Other,WS-MG-T4,4.585211036
Bacteria Other,WS-MG-T24,4.591741467
Archaea,Tuss-MG-T0,0.019133483
Archaea,Tuss-MG-T4,0.005331911
Archaea,Tuss-MG-T24,0.005289606
Archaea,WS-MG-T0,1.699157746
Archaea,WS-MG-T4,2.569590427
Archaea,WS-MG-T24,1.948588409
Fungi,Tuss-MG-T0,1.229918943
Fungi,Tuss-MG-T4,1.372353295
Fungi,Tuss-MG-T24,0.919499561
Fungi,WS-MG-T0,0.085876899
Fungi,WS-MG-T4,0.055712515
Fungi,WS-MG-T24,0.068480432
