Species,Sample,Value
Acidobacteria,Tuss-MG,34.32629166
Acidobacteria,WS-MG,10.04038741
Actinobacteria,Tuss-MG,23.50031157
Actinobacteria,WS-MG,26.69393874
Alphaproteobacteria,Tuss-MG,15.29532307
Alphaproteobacteria,WS-MG,8.279415034
Betaproteobacteria,Tuss-MG,1.997010676
Betaproteobacteria,WS-MG,6.394050704
Deltaproteobacteria,Tuss-MG,4.087473804
Deltaproteobacteria,WS-MG,12.74741981
Gammaproteobacteria,Tuss-MG,10.90444318
Gammaproteobacteria,WS-MG,1.657241876
Proteobacteria Unclassified,Tuss-MG,0.010811783
Proteobacteria Unclassified,WS-MG,0.016871709
Bacteroidetes,Tuss-MG,0.389488645
Bacteroidetes,WS-MG,1.887323186
Chloroflexi,Tuss-MG,0.248860258
Chloroflexi,WS-MG,8.287082582
Firmicutes,Tuss-MG,3.51307565
Firmicutes,WS-MG,14.80295526
Planctomycetes,Tuss-MG,1.013795143
Planctomycetes,WS-MG,0.125398413
Verrucomicrobia,Tuss-MG,2.405566076
Verrucomicrobia,WS-MG,2.394707423
Bacteria Unclassified,Tuss-MG,0
Bacteria Unclassified,WS-MG,0
Bacteria Other,Tuss-MG,1.123706219
Bacteria Other,WS-MG,4.530739036
Archaea,Tuss-MG,0.009918333
Archaea,WS-MG,2.072445527
Fungi,Tuss-MG,1.173923933
Fungi,WS-MG,0.070023282
