Species,Sample,Value
Acidobacteria,Tuss1-MT-T0,53.44837204
Acidobacteria,Tuss2-MT-T0,55.67284982
Acidobacteria,Tuss1-MT-T4,28.73254509
Acidobacteria,Tuss2-MT-T4,36.01437495
Acidobacteria,Tuss1-MT-T24,28.85562936
Acidobacteria,Tuss3-MT-T24,42.83955167
Acidobacteria,WS1-MT-T0,7.307882527
Acidobacteria,WS3-MT-T0,6.359659222
Acidobacteria,WS1-MT-T4,8.507962307
Acidobacteria,WS2-MT-T4,7.457496136
Acidobacteria,WS1-MT-T24,8.907193466
Acidobacteria,WS3-MT-T24,10.2840053
Actinobacteria,Tuss1-MT-T0,30.35385559
Actinobacteria,Tuss2-MT-T0,27.34748545
Actinobacteria,Tuss1-MT-T4,50.35303251
Actinobacteria,Tuss2-MT-T4,50.06331822
Actinobacteria,Tuss1-MT-T24,57.1664004
Actinobacteria,Tuss3-MT-T24,35.27867909
Actinobacteria,WS1-MT-T0,41.08240503
Actinobacteria,WS3-MT-T0,33.12226571
Actinobacteria,WS1-MT-T4,39.08786595
Actinobacteria,WS2-MT-T4,41.88746596
Actinobacteria,WS1-MT-T24,40.12425395
Actinobacteria,WS3-MT-T24,42.1046073
Alphaproteobacteria,Tuss1-MT-T0,3.850945536
Alphaproteobacteria,Tuss2-MT-T0,3.891353189
Alphaproteobacteria,Tuss1-MT-T4,5.328535308
Alphaproteobacteria,Tuss2-MT-T4,2.819371952
Alphaproteobacteria,Tuss1-MT-T24,3.373412932
Alphaproteobacteria,Tuss3-MT-T24,7.702886111
Alphaproteobacteria,WS1-MT-T0,2.571771743
Alphaproteobacteria,WS3-MT-T0,2.864379461
Alphaproteobacteria,WS1-MT-T4,3.198467522
Alphaproteobacteria,WS2-MT-T4,1.841834106
Alphaproteobacteria,WS1-MT-T24,2.586297162
Alphaproteobacteria,WS3-MT-T24,7.144880088
Betaproteobacteria,Tuss1-MT-T0,0.708454973
Betaproteobacteria,Tuss2-MT-T0,1.130537473
Betaproteobacteria,Tuss1-MT-T4,0.856090729
Betaproteobacteria,Tuss2-MT-T4,0.559596132
Betaproteobacteria,Tuss1-MT-T24,0.619692256
Betaproteobacteria,Tuss3-MT-T24,2.173346396
Betaproteobacteria,WS1-MT-T0,2.830833
Betaproteobacteria,WS3-MT-T0,1.344692609
Betaproteobacteria,WS1-MT-T4,3.540953155
Betaproteobacteria,WS2-MT-T4,3.045190255
Betaproteobacteria,WS1-MT-T24,3.430944819
Betaproteobacteria,WS3-MT-T24,6.908114599
Deltaproteobacteria,Tuss1-MT-T0,3.678015582
Deltaproteobacteria,Tuss2-MT-T0,2.681606083
Deltaproteobacteria,Tuss1-MT-T4,2.534700001
Deltaproteobacteria,Tuss2-MT-T4,2.034739454
Deltaproteobacteria,Tuss1-MT-T24,2.328260321
Deltaproteobacteria,Tuss3-MT-T24,4.045588143
Deltaproteobacteria,WS1-MT-T0,13.49473635
Deltaproteobacteria,WS3-MT-T0,10.948653
Deltaproteobacteria,WS1-MT-T4,14.66883381
Deltaproteobacteria,WS2-MT-T4,11.91396188
Deltaproteobacteria,WS1-MT-T24,12.40096332
Deltaproteobacteria,WS3-MT-T24,12.02066317
Gammaproteobacteria,Tuss1-MT-T0,2.586511464
Gammaproteobacteria,Tuss2-MT-T0,4.37237168
Gammaproteobacteria,Tuss1-MT-T4,4.639256376
Gammaproteobacteria,Tuss2-MT-T4,3.374689826
Gammaproteobacteria,Tuss1-MT-T24,2.342554444
Gammaproteobacteria,Tuss3-MT-T24,3.675274365
