Species,Sample,Value
Actinobacteria,Tuss MG,23.50775363
Actinobacteria,WS MG,26.81084857
Acidobacteria,Tuss MG,34.33793757
Acidobacteria,WS MG,10.08306017
Alphaproteobacteria,Tuss MG,15.29983585
Alphaproteobacteria,WS MG,8.311279377
Betaproteobacteria,Tuss MG,1.99752785
Betaproteobacteria,WS MG,6.418810641
Deltaproteobacteria,Tuss MG,4.088710221
Deltaproteobacteria,WS MG,12.80575459
Gammaproteobacteria,Tuss MG,10.90791769
Gammaproteobacteria,WS MG,1.663923312
Bacteroidetes,Tuss MG,0.38962843
Bacteroidetes,WS MG,1.898125413
Chloroflexi,Tuss MG,0.248932422
Chloroflexi,WS MG,8.324872211
Firmicutes,Tuss MG,3.514285431
Firmicutes,WS MG,14.8696171
Bacteria Other,Tuss MG,4.555337991
Bacteria Other,WS MG,7.098803098
Archaea,Tuss MG,0.005412241
Archaea,WS MG,1.693761896
Fungi,Tuss MG,1.146720685
Fungi,WS MG,0.021143626
