Species,Sample,Value
Actinobacteria,WS1-MG-T0,24.96084809
Actinobacteria,WS2-MG-T0,34.54421262
Actinobacteria,WS3-MG-T0,27.34859461
Actinobacteria,WS1-MG-T4,27.12242244
Actinobacteria,WS2-MG-T4,27.27583262
Actinobacteria,WS3-MG-T4,22.35333973
Actinobacteria,WS1-MG-T24,22.97085916
Actinobacteria,WS2-MG-T24,31.42626413
Actinobacteria,WS3-MG-T24,23.29526369
Actinobacteria,Tuss1-MG-T0,29.65429924
Actinobacteria,Tuss2-MG-T0,30.30088688
Actinobacteria,Tuss1-MG-T4,15.95670578
Actinobacteria,Tuss2-MG-T4,22.2411862
Actinobacteria,Tuss1-MG-T24,23.66513203
Actinobacteria,Tuss2-MG-T24,19.22831162
Acidobacteria,WS1-MG-T0,9.908444766
Acidobacteria,WS2-MG-T0,8.289865872
Acidobacteria,WS3-MG-T0,10.95334686
Acidobacteria,WS1-MG-T4,10.09969658
Acidobacteria,WS2-MG-T4,8.77882152
Acidobacteria,WS3-MG-T4,11.61989724
Acidobacteria,WS1-MG-T24,9.860378889
Acidobacteria,WS2-MG-T24,8.864455212
Acidobacteria,WS3-MG-T24,12.37263464
Acidobacteria,Tuss1-MG-T0,31.3497743
Acidobacteria,Tuss2-MG-T0,33.092116
Acidobacteria,Tuss1-MG-T4,41.71355088
Acidobacteria,Tuss2-MG-T4,37.39932796
Acidobacteria,Tuss1-MG-T24,35.15901995
Acidobacteria,Tuss2-MG-T24,27.31383632
Alphaproteobacteria,WS1-MG-T0,7.752078063
Alphaproteobacteria,WS2-MG-T0,4.197714853
Alphaproteobacteria,WS3-MG-T0,11.29527673
Alphaproteobacteria,WS1-MG-T4,7.170722645
Alphaproteobacteria,WS2-MG-T4,4.440649018
Alphaproteobacteria,WS3-MG-T4,12.89594038
Alphaproteobacteria,WS1-MG-T24,6.430681884
Alphaproteobacteria,WS2-MG-T24,5.491365387
Alphaproteobacteria,WS3-MG-T24,15.12708543
Alphaproteobacteria,Tuss1-MG-T0,12.35825168
Alphaproteobacteria,Tuss2-MG-T0,12.06268023
Alphaproteobacteria,Tuss1-MG-T4,14.29030702
Alphaproteobacteria,Tuss2-MG-T4,14.55544296
Alphaproteobacteria,Tuss1-MG-T24,14.73778907
Alphaproteobacteria,Tuss2-MG-T24,23.79454411
Betaproteobacteria,WS1-MG-T0,5.728225515
Betaproteobacteria,WS2-MG-T0,3.042722305
Betaproteobacteria,WS3-MG-T0,8.664155317
Betaproteobacteria,WS1-MG-T4,5.176791133
Betaproteobacteria,WS2-MG-T4,3.495587817
Betaproteobacteria,WS3-MG-T4,10.19140647
Betaproteobacteria,WS1-MG-T24,5.109785065
Betaproteobacteria,WS2-MG-T24,4.950925581
Betaproteobacteria,WS3-MG-T24,11.40969656
Betaproteobacteria,Tuss1-MG-T0,1.596388858
Betaproteobacteria,Tuss2-MG-T0,1.501713913
Betaproteobacteria,Tuss1-MG-T4,1.48957831
Betaproteobacteria,Tuss2-MG-T4,1.472078511
Betaproteobacteria,Tuss1-MG-T24,1.624596497
Betaproteobacteria,Tuss2-MG-T24,4.30081101
Deltaproteobacteria,WS1-MG-T0,13.82363571
Deltaproteobacteria,WS2-MG-T0,12.39443616
Deltaproteobacteria,WS3-MG-T0,11.13880035
Deltaproteobacteria,WS1-MG-T4,13.85225091
Deltaproteobacteria,WS2-MG-T4,15.23484202
Deltaproteobacteria,WS3-MG-T4,10.56970244
Deltaproteobacteria,WS1-MG-T24,14.62255953
Deltaproteobacteria,WS2-MG-T24,12.65374581
Deltaproteobacteria,WS3-MG-T24,10.96181839
Deltaproteobacteria,Tuss1-MG-T0,4.040515248
Deltaproteobacteria,Tuss2-MG-T0,3.672669895
Deltaproteobacteria,Tuss1-MG-T4,4.034721106
Deltaproteobacteria,Tuss2-MG-T4,3.664195424
Deltaproteobacteria,Tuss1-MG-T24,3.487326031
Deltaproteobacteria,Tuss2-MG-T24,5.63283362
Gammaproteobacteria,WS1-MG-T0,1.566076376
Gammaproteobacteria,WS2-MG-T0,0.844510681
Gammaproteobacteria,WS3-MG-T0,1.982034193
Gammaproteobacteria,WS1-MG-T4,1.67193015
Gammaproteobacteria,WS2-MG-T4,1.036151438
Gammaproteobacteria,WS3-MG-T4,3.060245045
Gammaproteobacteria,WS1-MG-T24,1.367244076
Gammaproteobacteria,WS2-MG-T24,1.118151323
Gammaproteobacteria,WS3-MG-T24,2.328966521
Gammaproteobacteria,Tuss1-MG-T0,10.79489156
Gammaproteobacteria,Tuss2-MG-T0,10.23994777
Gammaproteobacteria,Tuss1-MG-T4,10.394899
Gammaproteobacteria,Tuss2-MG-T4,11.84596512
Gammaproteobacteria,Tuss1-MG-T24,10.83240726
Gammaproteobacteria,Tuss2-MG-T24,11.33939543
Bacteroidetes,WS1-MG-T0,1.566076376
Bacteroidetes,WS2-MG-T0,1.372329856
Bacteroidetes,WS3-MG-T0,0.857722399
Bacteroidetes,WS1-MG-T4,1.727661155
Bacteroidetes,WS2-MG-T4,4.588670652
Bacteroidetes,WS3-MG-T4,1.569645983
Bacteroidetes,WS1-MG-T24,3.470250855
Bacteroidetes,WS2-MG-T24,1.410113058
Bacteroidetes,WS3-MG-T24,0.520658381
Bacteroidetes,Tuss1-MG-T0,0.39634482
Bacteroidetes,Tuss2-MG-T0,0.310136569
Bacteroidetes,Tuss1-MG-T4,0.66977442
Bacteroidetes,Tuss2-MG-T4,0.21867833
Bacteroidetes,Tuss1-MG-T24,0.423347621
Bacteroidetes,Tuss2-MG-T24,0.319488818
Chloroflexi,WS1-MG-T0,7.631610649
Chloroflexi,WS2-MG-T0,8.848733234
Chloroflexi,WS3-MG-T0,7.568820632
Chloroflexi,WS1-MG-T4,7.851879373
Chloroflexi,WS2-MG-T4,9.222886422
Chloroflexi,WS3-MG-T4,8.412850771
Chloroflexi,WS1-MG-T24,10.00521407
Chloroflexi,WS2-MG-T24,8.30537955
Chloroflexi,WS3-MG-T24,7.076475199
Chloroflexi,Tuss1-MG-T0,0.253220302
Chloroflexi,Tuss2-MG-T0,0.228521682
Chloroflexi,Tuss1-MG-T4,0.176820447
Chloroflexi,Tuss2-MG-T4,0.186676623
Chloroflexi,Tuss1-MG-T24,0.269884109
Chloroflexi,Tuss2-MG-T24,0.378471369
Firmicutes,WS1-MG-T0,17.83520058
Firmicutes,WS2-MG-T0,19.19398907
Firmicutes,WS3-MG-T0,13.13822081
Firmicutes,WS1-MG-T4,16.10006812
Firmicutes,WS2-MG-T4,16.0204953
Firmicutes,WS3-MG-T4,9.700186325
Firmicutes,WS1-MG-T24,14.95857714
Firmicutes,WS2-MG-T24,17.36240527
Firmicutes,WS3-MG-T24,9.517411264
Firmicutes,Tuss1-MG-T0,3.858857206
Firmicutes,Tuss2-MG-T0,3.106806682
Firmicutes,Tuss1-MG-T4,4.500884102
Firmicutes,Tuss2-MG-T4,3.589524775
Firmicutes,Tuss1-MG-T24,3.434407578
Firmicutes,Tuss2-MG-T24,2.595232244
Bacteria Other,WS1-MG-T0,7.390675822
Bacteria Other,WS2-MG-T0,5.470690512
Bacteria Other,WS3-MG-T0,6.398145465
Bacteria Other,WS1-MG-T4,6.762028609
Bacteria Other,WS2-MG-T4,6.723598064
Bacteria Other,WS3-MG-T4,9.056518548
Bacteria Other,WS1-MG-T24,8.035455651
Bacteria Other,WS2-MG-T24,6.802087216
Bacteria Other,WS3-MG-T24,7.250027992
Bacteria Other,Tuss1-MG-T0,4.668061213
Bacteria Other,Tuss2-MG-T0,4.075303335
Bacteria Other,Tuss1-MG-T4,4.666988158
Bacteria Other,Tuss2-MG-T4,4.261560617
Bacteria Other,Tuss1-MG-T24,4.720325978
Bacteria Other,Tuss2-MG-T24,4.939788646
Archaea,WS1-MG-T0,1.831104686
Archaea,WS2-MG-T0,1.751117735
Archaea,WS3-MG-T0,0.643291799
Archaea,WS1-MG-T4,2.452164221
Archaea,WS2-MG-T4,3.16538571
Archaea,WS3-MG-T4,0.55332844
Archaea,WS1-MG-T24,3.128439835
Archaea,WS2-MG-T24,1.59025966
Archaea,WS3-MG-T24,0.128764976
Archaea,Tuss1-MG-T0,0.016514367
Archaea,Tuss2-MG-T0,0
Archaea,Tuss1-MG-T4,0
Archaea,Tuss2-MG-T4,0.010667236
Archaea,Tuss1-MG-T24,0.005291845
Archaea,Tuss2-MG-T24,0
Fungi,WS1-MG-T0,0.006023371
Fungi,WS2-MG-T0,0.049677099
Fungi,WS3-MG-T0,0.011590843
Fungi,WS1-MG-T4,0.012384668
Fungi,WS2-MG-T4,0.017079419
Fungi,WS3-MG-T4,0.016938626
Fungi,WS1-MG-T24,0.04055385
Fungi,WS2-MG-T24,0.024847807
Fungi,WS3-MG-T24,0.011196954
Fungi,Tuss1-MG-T0,1.012881207
Fungi,Tuss2-MG-T0,1.409217041
Fungi,Tuss1-MG-T4,2.105770776
Fungi,Tuss2-MG-T4,0.55469625
Fungi,Tuss1-MG-T24,1.640472033
Fungi,Tuss2-MG-T24,0.157286803
