Tuss_MG,Tuss_MG_Value,Tuss-T0_MT,Tuss-T0_MT_Value,Tuss-T4_MT,Tuss-T4_MT_Value,Tuss-T24_MT,Tuss-T24_MT_Value,WS_MG,WS_MG_Value,WS-T0_MT,WS-T0_MT_Value,WS-T4_MT,WS-T4_MT_Value,WS-T24_MT,WS-T24_MT_Value
Acidobacteria,34.33793757,Acidobacteria,54.56061093,Acidobacteria,32.37346002,Acidobacteria,35.84759052,Acidobacteria,10.08306017,Acidobacteria,6.833770875,Acidobacteria,7.982729222,Acidobacteria,9.595599384
Actinobacteria,23.50775363,Actinobacteria,28.85067052,Actinobacteria,50.20817536,Actinobacteria,46.22253975,Actinobacteria,26.81084857,Actinobacteria,37.10233537,Actinobacteria,40.48766595,Actinobacteria,41.11443063
Alphaproteobacteria,15.29983585,Alphaproteobacteria,3.871149362,Alphaproteobacteria,4.07395363,Alphaproteobacteria,5.538149521,Alphaproteobacteria,8.311279377,Alphaproteobacteria,2.718075602,Alphaproteobacteria,2.520150814,Alphaproteobacteria,4.865588625
Archaea,0.005412241,Archaea,0.168755431,Archaea,0.056689783,Archaea,0.044535057,Archaea,1.693761896,Archaea,9.40345746,Archaea,7.720601088,Archaea,3.416161464
Bacteria Other,4.555337991,Bacteria Other,1.496057436,Bacteria Other,1.087331243,Bacteria Other,1.37909361,Bacteria Other,7.098803098,Bacteria Other,4.677459056,Bacteria Other,4.137338536,Bacteria Other,4.109358871
Bacteroidetes,0.38962843,Bacteroidetes,0.714900198,Bacteroidetes,0.954871281,Bacteroidetes,0.421343366,Bacteroidetes,1.898125413,Bacteroidetes,1.663335703,Bacteroidetes,2.414659563,Bacteroidetes,1.074083926
Betaproteobacteria,1.99752785,Betaproteobacteria,0.919496223,Betaproteobacteria,0.707843431,Betaproteobacteria,1.396519326,Betaproteobacteria,6.418810641,Betaproteobacteria,2.087762804,Betaproteobacteria,3.293071705,Betaproteobacteria,5.169529709
Chloroflexi,0.248932422,Chloroflexi,0.22839504,Chloroflexi,0.123490626,Chloroflexi,0.17922752,Chloroflexi,8.324872211,Chloroflexi,9.688213951,Chloroflexi,7.057087698,Chloroflexi,8.099761079
Deltaproteobacteria,4.088710221,Deltaproteobacteria,3.179810833,Deltaproteobacteria,2.284719728,Deltaproteobacteria,3.186924232,Deltaproteobacteria,12.80575459,Deltaproteobacteria,12.22169468,Deltaproteobacteria,13.29139784,Deltaproteobacteria,12.21081324
Firmicutes,3.514285431,Firmicutes,1.810926626,Firmicutes,1.557402232,Firmicutes,1.604871054,Firmicutes,14.8696171,Firmicutes,12.05591356,Firmicutes,9.733875394,Firmicutes,9.167573332
Fungi,1.146720685,Fungi,0.719785825,Fungi,2.565089564,Fungi,1.170291645,Fungi,0.021143626,Fungi,0.169221071,Fungi,0.067616606,Fungi,0.070525647
Gammaproteobacteria,10.90791769,Gammaproteobacteria,3.479441572,Gammaproteobacteria,4.006973101,Gammaproteobacteria,3.008914404,Gammaproteobacteria,1.663923312,Gammaproteobacteria,1.378759872,Gammaproteobacteria,1.293805579,Gammaproteobacteria,1.106574094
