Species,Sample,Value
Acidobacteria,WS1-T0,7.307882527
Acidobacteria,WS2-T0,6.359659222
Acidobacteria,WS1-T4,8.507962307
Acidobacteria,WS2-T4,7.457496136
Acidobacteria,WS1-T24,8.907193466
Acidobacteria,WS2-T24,10.2840053
Acidobacteria,Tuss1-T0,53.44837204
Acidobacteria,Tuss2-T0,55.67284982
Acidobacteria,Tuss1-T4,28.73254509
Acidobacteria,Tuss2-T4,36.01437495
Acidobacteria,Tuss1-T24,28.85562936
Acidobacteria,Tuss2-T24,42.83955167
Actinobacteria,WS1-T0,41.08240503
Actinobacteria,WS2-T0,33.12226571
Actinobacteria,WS1-T4,39.08786595
Actinobacteria,WS2-T4,41.88746596
Actinobacteria,WS1-T24,40.12425395
Actinobacteria,WS2-T24,42.1046073
Actinobacteria,Tuss1-T0,30.35385559
Actinobacteria,Tuss2-T0,27.34748545
Actinobacteria,Tuss1-T4,50.35303251
Actinobacteria,Tuss2-T4,50.06331822
Actinobacteria,Tuss1-T24,57.1664004
Actinobacteria,Tuss2-T24,35.27867909
Alphaproteobacteria,WS1-T0,2.571771743
Alphaproteobacteria,WS2-T0,2.864379461
Alphaproteobacteria,WS1-T4,3.198467522
Alphaproteobacteria,WS2-T4,1.841834106
Alphaproteobacteria,WS1-T24,2.586297162
Alphaproteobacteria,WS2-T24,7.144880088
Alphaproteobacteria,Tuss1-T0,3.850945536
Alphaproteobacteria,Tuss2-T0,3.891353189
Alphaproteobacteria,Tuss1-T4,5.328535308
Alphaproteobacteria,Tuss2-T4,2.819371952
Alphaproteobacteria,Tuss1-T24,3.373412932
Alphaproteobacteria,Tuss2-T24,7.702886111
Betaproteobacteria,WS1-T0,2.830833
Betaproteobacteria,WS2-T0,1.344692609
Betaproteobacteria,WS1-T4,3.540953155
Betaproteobacteria,WS2-T4,3.045190255
Betaproteobacteria,WS1-T24,3.430944819
Betaproteobacteria,WS2-T24,6.908114599
Betaproteobacteria,Tuss1-T0,0.708454973
Betaproteobacteria,Tuss2-T0,1.130537473
Betaproteobacteria,Tuss1-T4,0.856090729
Betaproteobacteria,Tuss2-T4,0.559596132
Betaproteobacteria,Tuss1-T24,0.619692256
Betaproteobacteria,Tuss2-T24,2.173346396
Deltaproteobacteria,WS1-T0,13.49473635
Deltaproteobacteria,WS2-T0,10.948653
Deltaproteobacteria,WS1-T4,14.66883381
Deltaproteobacteria,WS2-T4,11.91396188
Deltaproteobacteria,WS1-T24,12.40096332
Deltaproteobacteria,WS2-T24,12.02066317
Deltaproteobacteria,Tuss1-T0,3.678015582
Deltaproteobacteria,Tuss2-T0,2.681606083
Deltaproteobacteria,Tuss1-T4,2.534700001
Deltaproteobacteria,Tuss2-T4,2.034739454
Deltaproteobacteria,Tuss1-T24,2.328260321
Deltaproteobacteria,Tuss2-T24,4.045588143
Gammaproteobacteria,WS1-T0,1.712159393
Gammaproteobacteria,WS2-T0,1.04536035
Gammaproteobacteria,WS1-T4,1.886573402
Gammaproteobacteria,WS2-T4,0.701037757
Gammaproteobacteria,WS1-T24,1.190185334
Gammaproteobacteria,WS2-T24,1.022962854
Gammaproteobacteria,Tuss1-T0,2.586511464
Gammaproteobacteria,Tuss2-T0,4.37237168
Gammaproteobacteria,Tuss1-T4,4.639256376
Gammaproteobacteria,Tuss2-T4,3.374689826
Gammaproteobacteria,Tuss1-T24,2.342554444
Gammaproteobacteria,Tuss2-T24,3.675274365
Bacteroidetes,WS1-T0,1.731000212
Bacteroidetes,WS2-T0,1.595671195
Bacteroidetes,WS1-T4,1.673729224
Bacteroidetes,WS2-T4,3.155589902
Bacteroidetes,WS1-T24,1.476388259
Bacteroidetes,WS2-T24,0.671779593
Bacteroidetes,Tuss1-T0,0.714033359
Bacteroidetes,Tuss2-T0,0.715767037
Bacteroidetes,Tuss1-T4,1.233777815
Bacteroidetes,Tuss2-T4,0.675964747
Bacteroidetes,Tuss1-T24,0.422937863
Bacteroidetes,Tuss2-T24,0.41974887
Chloroflexi,WS1-T0,7.449188667
Chloroflexi,WS2-T0,11.92723924
Chloroflexi,WS1-T4,8.465393471
Chloroflexi,WS2-T4,5.648781924
Chloroflexi,WS1-T24,8.181215315
Chloroflexi,WS2-T24,8.018306844
Chloroflexi,Tuss1-T0,0.256605738
Chloroflexi,Tuss2-T0,0.200184342
Chloroflexi,Tuss1-T4,0.114355257
Chloroflexi,Tuss2-T4,0.132625995
Chloroflexi,Tuss1-T24,0.132851257
Chloroflexi,Tuss2-T24,0.225603782
Firmicutes,WS1-T0,11.84380961
Firmicutes,WS2-T0,12.2680175
Firmicutes,WS1-T4,11.67353573
Firmicutes,WS2-T4,7.794215059
Firmicutes,WS1-T24,10.25793166
Firmicutes,WS2-T24,8.077215003
Firmicutes,Tuss1-T0,1.915245728
Firmicutes,Tuss2-T0,1.706607523
Firmicutes,Tuss1-T4,1.778276698
Firmicutes,Tuss2-T4,1.336527766
Firmicutes,Tuss1-T24,1.797696124
Firmicutes,Tuss2-T24,1.412045984
Other Bacteria,WS1-T0,5.143543487
Other Bacteria,WS2-T0,4.211374626
Other Bacteria,WS1-T4,5.028927459
