Species,Sample,Value
Actinobacteria,WS-16S,9.951645341
Acidobacteria,WS-16S,17.16162004
Alphaproteobacteria,WS-16S,8.613722298
Betaproteobacteria,WS-16S,6.103516297
Deltaproteobacteria,WS-16S,11.06582078
Gammaproteobacteria,WS-16S,4.118292484
Proteobacteria Unclassified,WS-16S,4.124522556
Bacteroidetes,WS-16S,8.089501898
Chloroflexi,WS-16S,5.132606339
Firmicutes,WS-16S,1.597698234
Planctomycetes,WS-16S,6.284044605
Verrucomicrobia,WS-16S,10.25220845
Bacteria Other,WS-16S,6.350395865
Archaea,WS-16S,1.154404804
Fungi,WS-16S,0
Acidobacteria,WS-MG,10.04038741
Actinobacteria,WS-MG,26.69393874
Alphaproteobacteria,WS-MG,8.279415034
Betaproteobacteria,WS-MG,6.394050704
Deltaproteobacteria,WS-MG,12.74741981
Gammaproteobacteria,WS-MG,1.657241876
Proteobacteria Unclassified,WS-MG,0.016871709
Bacteroidetes,WS-MG,1.887323186
Chloroflexi,WS-MG,8.287082582
Firmicutes,WS-MG,14.80295526
Planctomycetes,WS-MG,0.125398413
Verrucomicrobia,WS-MG,2.394707423
Bacteria Other,WS-MG,4.530739036
Archaea,WS-MG,2.072445527
Fungi,WS-MG,0.070023282
Acidobacteria,WS-MT-T0,6.833770875
Acidobacteria,WS-MT-T4,7.982729222
Acidobacteria,WS-MT-T24,9.595599384
Actinobacteria,WS-MT-T0,37.10233537
Actinobacteria,WS-MT-T4,40.48766595
Actinobacteria,WS-MT-T24,41.11443063
Alphaproteobacteria,WS-MT-T0,2.718075602
Alphaproteobacteria,WS-MT-T4,2.520150814
Alphaproteobacteria,WS-MT-T24,4.865588625
Betaproteobacteria,WS-MT-T0,2.087762804
Betaproteobacteria,WS-MT-T4,3.293071705
Betaproteobacteria,WS-MT-T24,5.169529709
Deltaproteobacteria,WS-MT-T0,12.22169468
Deltaproteobacteria,WS-MT-T4,13.29139784
Deltaproteobacteria,WS-MT-T24,12.21081324
Gammaproteobacteria,WS-MT-T0,1.378759872
Gammaproteobacteria,WS-MT-T4,1.293805579
Gammaproteobacteria,WS-MT-T24,1.106574094
Proteobacteria Unclassified,WS-MT-T0,0.024492115
Proteobacteria Unclassified,WS-MT-T4,0.020032085
Proteobacteria Unclassified,WS-MT-T24,0.047395087
Bacteroidetes,WS-MT-T0,1.663335703
Bacteroidetes,WS-MT-T4,2.414659563
Bacteroidetes,WS-MT-T24,1.074083926
Chloroflexi,WS-MT-T0,9.688213951
Chloroflexi,WS-MT-T4,7.057087698
Chloroflexi,WS-MT-T24,8.099761079
Firmicutes,WS-MT-T0,12.05591356
Firmicutes,WS-MT-T4,9.733875394
Firmicutes,WS-MT-T24,9.167573332
Planctomycetes,WS-MT-T0,0.072219975
Planctomycetes,WS-MT-T4,0.045441724
Planctomycetes,WS-MT-T24,0.065076931
Verrucomicrobia,WS-MT-T0,0.513493676
Verrucomicrobia,WS-MT-T4,0.75894673
Verrucomicrobia,WS-MT-T24,0.958776038
Bacteria Other,WS-MT-T0,4.06725329
Bacteria Other,WS-MT-T4,3.312917997
Bacteria Other,WS-MT-T24,3.038110814
Archaea,WS-MT-T0,9.40345746
Archaea,WS-MT-T4,7.720601088
Archaea,WS-MT-T24,3.416161464
Fungi,WS-MT-T0,0.169221071
Fungi,WS-MT-T4,0.067616606
Fungi,WS-MT-T24,0.070525647
