Sample,Iron,Mean,SD
Tuss-T0,Iron Oxidation,4.997847925,0.677668338
Tuss-T4,Iron Oxidation,12.92393598,2.152527544
Tuss-T24,Iron Oxidation,7.022038873,2.006190062
Tuss-T0,Iron Reduction,0.088339223,0.124930527
Tuss-T4,Iron Reduction,0.233710398,0.066177431
Tuss-T24,Iron Reduction,0.250820137,0.049925834
Tuss-T0,Siderophore Transport,52.42646497,3.931261781
Tuss-T4,Siderophore Transport,50.10446842,4.213852578
Tuss-T24,Siderophore Transport,56.83673721,6.011157618
Tuss-T0,Iron Storage,40.20961908,1.85235891
Tuss-T4,Iron Storage,35.52266978,2.126946352
Tuss-T24,Iron Storage,34.95772902,7.557550371
