Sample,Tier.IV,Mean,SD
Tuss-MT-T0,Carbon metabolism (K01200),18.6254057,2.684963469
Tuss-MT-T0,Ribosome (K03010),12.04804471,2.495399426
Tuss-MT-T0,RNA degradation (K03018),8.357050103,0.048613692
Tuss-MT-T0,Fatty acid metabolism (K01212),4.428800155,0.072850788
Tuss-MT-T0,Butanoate metabolism (K006650),3.203552176,1.025671978
Tuss-MT-T0,Glycolysis-Gluconeogenesis (K00010),2.874050582,0.274440335
Tuss-MT-T0,Cell cycle - Caulobacter (K04112),1.921150183,0.086204467
Tuss-MT-T0,Nicotinate and nicotinamide metabolism (K00760),1.339650783,0.369186134
Tuss-MT-T0,Degradation of aromatic compounds (K01220),1.372100212,0.099707877
Tuss-MT-T0,Starch and sucrose metabolism (K00500),0.982549805,0.091849002
Tuss-MT-T0,Porphyrin and chlorophyll metabolism (K00860),0.823450029,0.013509233
Tuss-MT-T0,Pyruvate metabolism (K00620),0.691000044,0.020509028
Tuss-MT-T0,Terpenoid backbone biosynthesis (K00900),0.674250048,0.02284241
Tuss-MT-T0,Nitrotoluene degradation (K00633),0.514699922,0.03690879
Tuss-MT-T0,Thiamine metabolism (K00730),0.437899951,0.022908402
Tuss-MT-T0,Pantothenate and CoA biosynthesis (K00770),0.392649945,0.026090574
Tuss-MT-T0,Glycerolipid metabolism (K00561),0.396549923,0.036131474
Tuss-MT-T0,Arginine and proline metabolism (K00330),0.347550005,0.002476348
Tuss-MT-T0,Sulfur relay system (K04122),0.181900003,0.001414985
Tuss-MT-T0,Histidine metabolism (K00340),0.143750023,0.010819344
Tuss-MT-T0,Steroid hormone biosynthesis (K00140),0.08030001,0.004525824
Tuss-MT-T0,Sesquiterpenoid and triterpenoid biosynthesis (K00909),0.073849997,0.001201768
Tuss-MT-T0,Benzoate degradation (K00362),0.058550031,0.014637359
Tuss-MT-T0,Chloroalkane and chloroalkene degradation (K00625),0.06789999,0.004666617
Tuss-MT-T0,Biotin metabolism (K00780),0.045450003,0.001343696
Tuss-MT-T0,Lysine biosynthesis (K00300),0.044399993,0.003111081
Tuss-MT-T0,Arginine biosynthesis (K00220),0.02154999,0.004878945
Tuss-MT-T0,Staurosporine biosynthesis (K00404),0.002149999,0.000494966
Tuss-MT-T0,Ferroptosis (K04216),0.0003,1.27279E-09
Tuss-MT-T4,Carbon metabolism (K01200),7.129082973,0.750253542
Tuss-MT-T4,Ribosome (K03010),19.28284935,2.298474652
Tuss-MT-T4,RNA degradation (K03018),23.3775899,1.565975882
Tuss-MT-T4,Fatty acid metabolism (K01212),1.185296928,0.102527713
Tuss-MT-T4,Butanoate metabolism (K006650),0.602098496,0.001132645
Tuss-MT-T4,Glycolysis-Gluconeogenesis (K00010),0.598998383,0.112428426
Tuss-MT-T4,Cell cycle - Caulobacter (K04112),6.81358379,0.776840022
Tuss-MT-T4,Nicotinate and nicotinamide metabolism (K00760),0.295949272,0.011385019
Tuss-MT-T4,Degradation of aromatic compounds (K01220),0.584948578,0.037689938
Tuss-MT-T4,Starch and sucrose metabolism (K00500),0.509498781,0.051336905
Tuss-MT-T4,Porphyrin and chlorophyll metabolism (K00860),0.538048754,0.093692556
Tuss-MT-T4,Pyruvate metabolism (K00620),0.189849462,0.059325708
Tuss-MT-T4,Terpenoid backbone biosynthesis (K00900),0.572098591,0.020224417
Tuss-MT-T4,Nitrotoluene degradation (K00633),0.14509963,0.006646479
Tuss-MT-T4,Thiamine metabolism (K00730),0.650298325,0.04652613
Tuss-MT-T4,Pantothenate and CoA biosynthesis (K00770),0.217249499,0.039810473
Tuss-MT-T4,Glycerolipid metabolism (K00561),0.171099615,0.04044677
Tuss-MT-T4,Arginine and proline metabolism (K00330),0.219999514,0.060387235
Tuss-MT-T4,Sulfur relay system (K04122),0.3705991,0.025315146
Tuss-MT-T4,Histidine metabolism (K00340),0.110099744,0.018384964
Tuss-MT-T4,Steroid hormone biosynthesis (K00140),0.027699932,0.001414269
Tuss-MT-T4,Sesquiterpenoid and triterpenoid biosynthesis (K00909),0.140249669,0.018880001
Tuss-MT-T4,Benzoate degradation (K00362),0.027699935,0.004242689
Tuss-MT-T4,Chloroalkane and chloroalkene degradation (K00625),0.031599922,0.000848593
Tuss-MT-T4,Biotin metabolism (K00780),0.023899946,0.005374049
Tuss-MT-T4,Lysine biosynthesis (K00300),0.024099943,0.00268705
Tuss-MT-T4,Arginine biosynthesis (K00220),0.00814998,0.000777833
Tuss-MT-T4,Staurosporine biosynthesis (K00404),0.000749998,0.000212133
Tuss-MT-T4,Ferroptosis (K04216),0.001649996,0.000353556
Tuss-MT-T24,Carbon metabolism (K01200),7.443776782,2.607211288
Tuss-MT-T24,Ribosome (K03010),23.41919082,0.356793101
Tuss-MT-T24,RNA degradation (K03018),19.75819912,0.842021505
Tuss-MT-T24,Fatty acid metabolism (K01212),1.190596437,0.332052305
Tuss-MT-T24,Butanoate metabolism (K006650),0.56249792,0.381410456
Tuss-MT-T24,Glycolysis-Gluconeogenesis (K00010),0.754697243,0.492283842
Tuss-MT-T24,Cell cycle - Caulobacter (K04112),3.542640213,0.526285736
Tuss-MT-T24,Nicotinate and nicotinamide metabolism (K00760),0.331449,0.097084346
Tuss-MT-T24,Degradation of aromatic compounds (K01220),0.500898396,0.198836159
Tuss-MT-T24,Starch and sucrose metabolism (K00500),0.540198662,0.006931539
Tuss-MT-T24,Porphyrin and chlorophyll metabolism (K00860),0.636498475,0.037620237
Tuss-MT-T24,Pyruvate metabolism (K00620),0.163199447,0.082023605
Tuss-MT-T24,Terpenoid backbone biosynthesis (K00900),0.505848624,0.062859847
Tuss-MT-T24,Nitrotoluene degradation (K00633),0.136249546,0.064275364
Tuss-MT-T24,Thiamine metabolism (K00730),0.477848725,0.045748005
Tuss-MT-T24,Pantothenate and CoA biosynthesis (K00770),0.190799488,0.019798266
Tuss-MT-T24,Glycerolipid metabolism (K00561),0.173149552,0.008696779
Tuss-MT-T24,Arginine and proline metabolism (K00330),0.178049584,0.016334755
Tuss-MT-T24,Sulfur relay system (K04122),0.226249397,0.021424482
Tuss-MT-T24,Histidine metabolism (K00340),0.080649782,0.00912137
Tuss-MT-T24,Steroid hormone biosynthesis (K00140),0.039349912,0.006010532
Tuss-MT-T24,Sesquiterpenoid and triterpenoid biosynthesis (K00909),0.100299751,0.001131723
Tuss-MT-T24,Benzoate degradation (K00362),0.020099949,0.000565613
Tuss-MT-T24,Chloroalkane and chloroalkene degradation (K00625),0.034299909,0.002828299
Tuss-MT-T24,Biotin metabolism (K00780),0.028049927,0.001767663
Tuss-MT-T24,Lysine biosynthesis (K00300),0.032099924,0.00226285
Tuss-MT-T24,Arginine biosynthesis (K00220),0.008649977,0.000919206
Tuss-MT-T24,Staurosporine biosynthesis (K00404),0.00035,0.000212133
Tuss-MT-T24,Ferroptosis (K04216),0.000149999,0.000212131
