Sample,Iron,Mean,SD
WS-T0,Iron Oxidation,5.222519492,0.44199245
WS-T4,Iron Oxidation,5.114751174,1.58428804
WS-T24,Iron Oxidation,3.05647278,0.239473976
WS-T0,Iron Reduction,22.33181947,1.053735623
WS-T4,Iron Reduction,15.72031631,0.999201568
WS-T24,Iron Reduction,17.52277864,3.994610122
WS-T0,Siderophore Transport,29.61058334,3.258786846
WS-T4,Siderophore Transport,34.99266702,1.159662408
WS-T24,Siderophore Transport,38.56053353,14.87870231
WS-T0,Iron Storage,41.24748612,3.245548425
WS-T4,Iron Storage,43.09065145,1.589893658
WS-T24,Iron Storage,39.72209739,10.14863077
