Flush	Precip_WS	DO_WS	EDC_WS	FeII_WS	FeIII_WS	DOC_WS	Precip_Tuss	DO_Tuss	EDC_Tuss	FeII_Tuss	FeIII_Tuss	DOC_Tuss
0	0	52	36	18	20	1538	0	57	45	58	12	4920
1	29	51	30	13	20	1779	27	51	88	41	13	4933
2	43	62	28	11	17	1664	43	70	82	28	12	4953
3	61	89	26	13	14	1528	60	114	75	21	7	3778
4	77	102	31	14	10	1198	76	143	65	19	5	2880
5	93	118	32	14	10	1243	92	178	47	15	4	2281
6	115	111	62	17	8	1218	108	190	36	13	3	1839
7	142	118	60	16	7	1148	125	188	33	12	3	2200
8	169	123	44	15	5	1058	146	194	41	10	2	1442
9	212	131	19	14	4	917	173	202	24	15	3	1237
10	272	154	18	14	5	880	206	203	20	9	2	1064
11	345	163	21	16	2	863	235	217	19	7	2	934
