Sample_ID	Vegetation	Timepoint	Replicate	Exp_Ann_Rich	Exp_Ann_Abund	Exp_Ann_Div
S107107	Tussock	T0	1	353537	5797561	11.98654
S107108	Tussock	T0	2	303729	3638615	11.75993
S107116	Tussock	T4	1	207538	960585	11.69615
S107117	Tussock	T4	2	286227	3147090	11.89319
S107119	Tussock	T24	1	320923	3535500	11.95821
S107121	Tussock	T24	3	266596	1996760	11.61855
S107104	Wet Sedge	T0	1	498790	4797267	12.48649
S107105	Wet Sedge	T0	2	449289	3727362	12.28717
S107106	Wet Sedge	T0	3	446055	2610321	12.484
S107110	Wet Sedge	T4	1	480455	4125347	12.41941
S107111	Wet Sedge	T4	2	476840	5342266	12.33807
S107112	Wet Sedge	T4	3	449096	3147324	12.4705
S107113	Wet Sedge	T24	1	493473	4491751	12.45966
S107114	Wet Sedge	T24	2	476967	4779012	12.31243
S107115	Wet Sedge	T24	3	470771	4997299	12.39459
