ID	Tundra	Time	Replicate	QC_Reads	Mapped_Reads	Ave_Length
S107107	Tussock	T0	1	65667254	19628380	141
S107108	Tussock	T0	2	43020594	12528861	141
S107116	Tussock	T4	1	12312448	3372508	141
S107117	Tussock	T4	2	36565234	10628986	141
S107119	Tussock	T24	1	47853114	11451168	141
S107121	Tussock	T24	3	27632452	4767927	141
S107104	Wet Sedge	T0	1	34568010	15458362	139
S107105	Wet Sedge	T0	2	24408724	12419993	140
S107106	Wet Sedge	T0	3	25734316	7180169	141
S107110	Wet Sedge	T4	1	29338238	13910613	140
S107111	Wet Sedge	T4	2	41991856	17433511	141
S107112	Wet Sedge	T4	3	35302148	8871426	141
S107113	Wet Sedge	T24	1	36956594	14967853	141
S107114	Wet Sedge	T24	2	33190654	15997334	140
S107115	Wet Sedge	T24	3	57805778	12782304	141
