Sample_ID	Vegetation	Timepoint	Replicate	Exp_Ann_Rich	Exp_Ann_Abund	Exp_Ann_Div
S108379	Tussock	T0	1	147445	2182064	9.418
S108381	Tussock	T0	2	130228	1558718	9.542
S108382	Tussock	T4	1	144608	2447254	9.678
S108383	Tussock	T4	2	123479	2395566	9.298
S108385	Tussock	T24	1	122748	1828558	9.578
S108386	Tussock	T24	3	108902	1205803	9.371
S108388	Wet Sedge	T0	1	265016	3676101	10.913
S108390	Wet Sedge	T0	3	238163	2970625	10.786
S108391	Wet Sedge	T4	1	250164	3277106	10.829
S108392	Wet Sedge	T4	2	236363	3780598	10.546
S108394	Wet Sedge	T24	1	189178	1816840	10.746
S108396	Wet Sedge	T24	3	152912	1097027	10.759
