Sample_ID	Vegetation	Timepoint	Replicate	QC_Reads	Mapped_Reads	Average_Length
S108382	Tussock	T0	1	58295400	9229059	127
S108383	Tussock	T0	2	50118466	6982871	127
S108391	Tussock	T4	1	53553208	8338151	125
S108392	Tussock	T4	2	50890114	7387851	128
S108394	Tussock	T24	1	57109114	7271424	127
S108396	Tussock	T24	3	41558870	5280460	129
S108379	Wet Sedge	T0	1	64669902	15825372	118
S108381	Wet Sedge	T0	3	57835184	10696764	129
S108385	Wet Sedge	T4	1	53169696	11952373	129
S108386	Wet Sedge	T4	2	53512234	12152652	130
S108388	Wet Sedge	T24	1	47583386	8193077	130
S108390	Wet Sedge	T24	3	43063128	6787536	129
