ID	Sample	Concentration	Vol	260-280	260-230	RIN
S108379	WS1-T0	36.5	50	1.6	0.9	5
S108381	WS3-T0	33.1	50	1.78	0.97	4.4
S108382	Tuss1-T0	61.9	50	1.9	1.25	4.9
S108383	Tuss2-T0	52	50	1.84	1.13	4.7
S108385	WS1-T4	45.1	50	1.69	0.98	5.7
S108386	WS2-T4	58.6	50	1.7	1.1	6.2
S108388	WS1-T24	59.9	42	1.63	0.96	4.1
S108390	WS3-T24	79.3	43	1.97	1.61	3.3
S108391	Tuss1-T4	32.9	44	1.75	1.14	4.8
S108392	Tuss2-T4	68.7	50	1.88	1.41	4.7
S108394	Tuss1-T24	114	50	1.69	1.25	2.5
S108396	Tuss3-T24	143	50	1.84	1.47	1.8
S108380	WS2-T0	10.3	40	1.44	0.91	0
S108384	Tuss3-T0	93.3	50	1.94	1.48	3.4
S108387	WS3-T4	31.9	45	1.48	0.71	5.4
S108389	WS2-T24	122	50	1.76	1.26	3.2
S108393	Tuss3-T4	69.3	50	1.84	1.22	4.4
S108395	Tuss2-T24	103	50	1.9	1.58	1.7
